system_id,brand,list_name,display_name,body,lens,teleconverter,actual_focal_length_mm,actual_f_stop,equiv_focal_length_mm,equiv_f_stop,system_weight_g,system_price_chf,price_checked_date,price_component_ids,price_basis
om1ii-panaleica100400ii-400,OM System,OM System — OM-1 II — Panasonic Leica DG Vario-Elmar 100-400mm F4.0-6.3 II @ 400 mm,OM System — OM-1 II — Panasonic Leica DG Vario-Elmar 100-400mm F4.0-6.3 II @ 400 mm,OM System OM-1 II,Panasonic Leica DG Vario-Elmar 100-400mm F4.0-6.3 II,none,400,6.3,800,12.6,1584,3093,2026-09-19,body-om1ii|lens-panaleica100400ii,component sum; OM System components use current official Swiss prices; Panasonic MFT components use current normal Swiss retail snapshots
om1ii-panaleica100400ii-400-14x,OM System,OM System — OM-1 II — Panasonic Leica DG Vario-Elmar 100-400mm F4.0-6.3 II @ 400 mm + DMW-TC14 1.4×,OM System — OM-1 II — Panasonic Leica DG Vario-Elmar 100-400mm F4.0-6.3 II @ 400 mm + DMW-TC14 1.4×,OM System OM-1 II,Panasonic Leica DG Vario-Elmar 100-400mm F4.0-6.3 II,DMW-TC14 1.4x,560,8.82,1120,17.64,1704,3392,2026-09-19,body-om1ii|lens-panaleica100400ii|tc-pana14,component sum; OM System components use current official Swiss prices; Panasonic MFT components use current normal Swiss retail snapshots
om1ii-panaleica50200-200,OM System,OM System — OM-1 II — Panasonic Leica DG Vario-Elmarit 50-200mm F2.8-4.0 @ 200 mm,OM System — OM-1 II — Panasonic Leica DG Vario-Elmarit 50-200mm F2.8-4.0 @ 200 mm,OM System OM-1 II,Panasonic Leica DG Vario-Elmarit 50-200mm F2.8-4.0,none,200,4,400,8,1254,3087,2026-09-19,body-om1ii|lens-panaleica50200,component sum; OM System components use current official Swiss prices; Panasonic MFT components use current normal Swiss retail snapshots
om1ii-panaleica50200-200-14x,OM System,OM System — OM-1 II — Panasonic Leica DG Vario-Elmarit 50-200mm F2.8-4.0 @ 200 mm + DMW-TC14 1.4×,OM System — OM-1 II — Panasonic Leica DG Vario-Elmarit 50-200mm F2.8-4.0 @ 200 mm + DMW-TC14 1.4×,OM System OM-1 II,Panasonic Leica DG Vario-Elmarit 50-200mm F2.8-4.0,DMW-TC14 1.4x,280,5.6,560,11.2,1374,3386,2026-09-19,body-om1ii|lens-panaleica50200|tc-pana14,component sum; OM System components use current official Swiss prices; Panasonic MFT components use current normal Swiss retail snapshots
om1ii-panaleica200f28,OM System,OM System — OM-1 II — Panasonic Leica DG Elmarit 200mm F2.8,OM System — OM-1 II — Panasonic Leica DG Elmarit 200mm F2.8,OM System OM-1 II,Panasonic Leica DG Elmarit 200mm F2.8,none,200,2.8,400,5.6,1844,4293,2026-09-19,body-om1ii|lens-panaleica200,component sum; OM System components use current official Swiss prices; Panasonic MFT components use current normal Swiss retail snapshots
om1ii-panaleica200f28-14x,OM System,OM System — OM-1 II — Panasonic Leica DG Elmarit 200mm F2.8 + bundled DMW-TC14 1.4×,OM System — OM-1 II — Panasonic Leica DG Elmarit 200mm F2.8 + bundled DMW-TC14 1.4×,OM System OM-1 II,Panasonic Leica DG Elmarit 200mm F2.8,DMW-TC14 1.4x,280,4,560,8,1964,4293,2026-09-19,body-om1ii|lens-panaleica200|tc-pana14-bundled,component sum; OM System components use current official Swiss prices; Panasonic MFT components use current normal Swiss retail snapshots
a1ii-sigma150600-600,Sony,Sony — Alpha 1 II — Sigma 150-600mm F5-6.3 DG DN OS Sports @ 600 mm,Sony — Alpha 1 II — Sigma 150-600mm F5-6.3 DG DN OS Sports @ 600 mm,Sony Alpha 1 II,Sigma 150-600mm F5-6.3 DG DN OS Sports (Sony E),none,600,6.3,600,6.3,2843,7423.05,2026-09-16,body-a1ii|lens-sigma150600-e,component sum; Sigma teleconverters for this lens are L-Mount only
